college_id,college_name,division,gender_program,website,soccer_program_url
3339,Allen,NAIA,womens,,
2915,Antelope Valley,NAIA,mens,,
3340,Antelope Valley,NAIA,womens,,
2916,Aquinas,NAIA,mens,,
3341,Aquinas,NAIA,womens,,
2917,Arizona Christian,NAIA,mens,,
3342,Arizona Christian,NAIA,womens,,
3343,Asbury,NAIA,womens,,
2918,Ave Maria,NAIA,mens,,
3344,Ave Maria,NAIA,womens,,
2919,Avila,NAIA,mens,,
3345,Avila,NAIA,womens,,
2920,Bacone,NAIA,mens,,
3346,Bacone,NAIA,womens,,
2921,Baker,NAIA,mens,,
3347,Baker,NAIA,womens,,
2922,Bellevue,NAIA,mens,,
3348,Bellevue,NAIA,womens,,
2923,Benedictine,NAIA,mens,,
3349,Benedictine,NAIA,womens,,
2924,Benedictine Mesa,NAIA,mens,,
3350,Benedictine Mesa,NAIA,womens,,
2925,Bethany,NAIA,mens,,
3351,Bethany,NAIA,womens,,
2926,Bethel,NAIA,mens,,
3352,Bethel,NAIA,womens,,
2927,Blue Mountain,NAIA,mens,,
2928,Bluefield,NAIA,mens,,
3353,Bluefield,NAIA,womens,,
3354,Brenau,NAIA,womens,,
2929,Brescia,NAIA,mens,,
3355,Brescia,NAIA,womens,,
2930,Brewton-Parker,NAIA,mens,,
3356,Brewton-Parker,NAIA,womens,,
2931,Briar Cliff,NAIA,mens,,
3357,Briar Cliff,NAIA,womens,,
2932,Bryan,NAIA,mens,,
3358,Bryan,NAIA,womens,,
3359,Bushnell,NAIA,womens,,
2934,CIU,NAIA,mens,,
3360,CIU,NAIA,womens,,
2935,Cal Maritime,NAIA,mens,,
3361,Cal Maritime,NAIA,womens,,
2936,Calumet,NAIA,mens,,
3362,Calumet,NAIA,womens,,
2937,Campbellsville,NAIA,mens,,
3363,Campbellsville,NAIA,womens,,
2938,Cardinal Stritch,NAIA,mens,,
3364,Cardinal Stritch,NAIA,womens,,
2939,Carlow,NAIA,mens,,
3365,Carlow,NAIA,womens,,
2940,Carroll,NAIA,mens,,
3366,Carroll,NAIA,womens,,
2941,Central Baptist,NAIA,mens,,
3367,Central Baptist,NAIA,womens,,
2942,Central Christian,NAIA,mens,,
3368,Central Christian,NAIA,womens,,
2943,Central Methodist,NAIA,mens,,
3369,Central Methodist,NAIA,womens,,
3370,Cincinnati Christian,NAIA,womens,,
2944,Clarke,NAIA,mens,,
3371,Clarke,NAIA,womens,,
2945,Cleary,NAIA,mens,,
3372,Cleary,NAIA,womens,,
2946,College of Idaho,NAIA,mens,,
3373,College of Idaho,NAIA,womens,,
3374,College of Saint Mary,NAIA,womens,,
2947,Columbia,NAIA,mens,,
3375,Columbia,NAIA,womens,,
2948,Concordia,NAIA,mens,,
3376,Concordia,NAIA,womens,,
2949,Corban,NAIA,mens,,
3377,Corban,NAIA,womens,,
2950,Cornerstone,NAIA,mens,,
3378,Cornerstone,NAIA,womens,,
2951,Culver-Stockton,NAIA,mens,,
3379,Culver-Stockton,NAIA,womens,,
2952,Cumberland,NAIA,mens,,
3380,Cumberland,NAIA,womens,,
2953,Cumberlands,NAIA,mens,,
3381,Cumberlands,NAIA,womens,,
2954,Dakota Wesleyan,NAIA,mens,,
3382,Dakota Wesleyan,NAIA,womens,,
2955,Dalton State,NAIA,mens,,
3383,Dalton State,NAIA,womens,,
2956,Doane,NAIA,mens,,
3384,Doane,NAIA,womens,,
2957,Dordt,NAIA,mens,,
3385,Dordt,NAIA,womens,,
2958,Eastern Oregon,NAIA,mens,,
3386,Eastern Oregon,NAIA,womens,,
2959,Embry-Riddle,NAIA,mens,,
3387,Embry-Riddle,NAIA,womens,,
2960,Evangel,NAIA,mens,,
3388,Evangel,NAIA,womens,,
2961,Evergreen,NAIA,mens,,
3389,Evergreen,NAIA,womens,,
2962,Faulkner,NAIA,mens,,
3390,Faulkner,NAIA,womens,,
2963,Fisher,NAIA,mens,,
3391,Fisher,NAIA,womens,,
2964,Fisk,NAIA,mens,,
2965,Florida College,NAIA,mens,,
3392,Florida College,NAIA,womens,,
2966,Florida Memorial,NAIA,mens,,
3393,Florida Memorial,NAIA,womens,,
2967,Florida National,NAIA,mens,,
3394,Florida National,NAIA,womens,,
2968,Freed-Hardeman,NAIA,mens,,
3395,Freed-Hardeman,NAIA,womens,,
2969,Friends,NAIA,mens,,
3396,Friends,NAIA,womens,,
2970,Georgetown,NAIA,mens,,
3397,Georgetown,NAIA,womens,,
2971,Georgia Gwinnett,NAIA,mens,,
3398,Georgia Gwinnett,NAIA,womens,,
2972,Goshen,NAIA,mens,,
3399,Goshen,NAIA,womens,,
2973,Governors State,NAIA,mens,,
3400,Governors State,NAIA,womens,,
2974,Grace,NAIA,mens,,
3401,Grace,NAIA,womens,,
2975,Graceland,NAIA,mens,,
3402,Graceland,NAIA,womens,,
2976,Grand View,NAIA,mens,,
3403,Grand View,NAIA,womens,,
2977,Hannibal-LaGrange,NAIA,mens,,
3404,Hannibal-LaGrange,NAIA,womens,,
3405,Harris-Stowe,NAIA,womens,,
2978,Hastings,NAIA,mens,,
3406,Hastings,NAIA,womens,,
2979,Holy Cross,NAIA,mens,,
3407,Holy Cross,NAIA,womens,,
2980,Holy Family,NAIA,mens,,
3408,Holy Family,NAIA,womens,,
2981,Hope International,NAIA,mens,,
3409,Hope International,NAIA,womens,,
2982,Houston-Victoria,NAIA,mens,,
3410,Houston-Victoria,NAIA,womens,,
2983,Huntington,NAIA,mens,,
3411,Huntington,NAIA,womens,,
2984,Huston-Tillotson,NAIA,mens,,
3412,Huston-Tillotson,NAIA,womens,,
2985,IU East,NAIA,mens,,
3413,IU East,NAIA,womens,,
3414,IU Kokomo,NAIA,womens,,
3415,IU South Bend,NAIA,womens,,
2986,Indiana Northwest,NAIA,mens,,
2987,Indiana Tech,NAIA,mens,,
3416,Indiana Tech,NAIA,womens,,
2988,Indiana Wesleyan,NAIA,mens,,
3417,Indiana Wesleyan,NAIA,womens,,
2989,Iowa Wesleyan,NAIA,mens,,
